"id","Geographic Area Name","TotalPop","PopUnder5","Pop5_9","Pop10_14","Pop15_19","Pop20_24","Pop25_29","Pop30_34","Pop35_39","Pop40_44","Pop45_49","Pop50_54","Pop55_59","Pop60_64","Pop65_69","Pop70_74","Pop75_79","Pop80_84","Pop85Up","Pop5_14","Pop15_17","PopUnder18","Pop18_24","Pop15_44","Pop16Up","Pop18Up","Pop21Up","Pop60Up","Pop62Up","Pop65Up","Pop75Up","Pop5Up","NonEnglishAtHome5Up","SpeakSpanish5Up","ForeignBorn5Up","Pop25Up","LessThanHighSchool25Up","HighSchoolPlus25Up","SomeCollege25Up","BachelorsUp25Up","PopWithDisability","PopMale","PopFemale","PopBlack","PopAmericanIndian","PopAsian","PopHawaiin","Pop2PlusRaces","PopWhite","PopHispanic","PopAmbulatoryDisability","PopSelfCareDisability","PopIndLivingDisability","TotalHouseholds","HousesWithFoodStamps","HousesWith60Plus","HousesWithChildren","HousesInPoverty","TotalHousePopulation","Income25kUnder","Income25k_50k","Income50k_75k","Income75k_100k","Income100kUp","TotalCivNonInstiPop","TotalCivNonInstiUnInsured","TotCivEmpPop16Up","TotEmpSelfEmployed","TotEmpAgriculture_Mining","TotEmpConstruction","TotEmpManufacturing","TotEmpWholesale","TotEmpRetail","TotEmpTransportation","TotEmpInformation","TotEmpFinance_Insurance","TotEmpProfessional","TotEmpEducation_Healthcare","TotEmpEntertainment_Food","TotEmpOther","TotEmpPublicAdministration","Worker16UpDroveAlone","Worker16UpCarpool","Worker16UpPublicTransportation","TotalWorkers16Up","TotWorkerManagement","TotWorkerService","TotWorkerSales_Office","TotWorkerConstruction_Maintenance","TotWorkerProduction_Transportation","TotWorkerMilitary","TotalOccupiedHousingUnits","Housing1Detached","Housing1Attached","Housing2Apartments","Housing3_4Apartments","Housing5_9Apartments","Housing10PlusApartments","HousingMobileHome"
"0500000US01001","Autauga County, Alabama",55200,3263,4009,3570,3855,3337,3660,3404,4095,3279,3874,3979,4131,2694,2271,2440,1498,1026,815,7579,2527,13369,4665,21630,43368,41831,39614,10744,9403,8050,3339,51937,1997,1118,1114,37166,4204,12119,10552,10291,10465,26159,28118,10444,159,557,27,1005,40651,1528,0,0,0,21115,2692,7289,7618,3175,54107,9323,9927,9502,8338,17017,54277,3875,24124,2.2,213,1448,3123,656,2154,1685,393,1510,2158,4844,1960,1507,2473,21136,2108,26,24428,38.1,15.6,21.7,8.2,15.1,1.4,21115,15652,219,153,329,466,717,3579
"0500000US01003","Baldwin County, Alabama",208107,11609,11689,14323,12707,10790,11825,11501,12428,12949,13694,14636,14440,14851,13141,11410,7373,4792,3949,26012,8056,45677,15441,72200,167712,162430,155502,55516,49811,40665,16114,196498,10596,7528,7098,146989,14310,40579,46025,46075,28863,99053,106399,19125,1439,1661,9,3511,170927,9341,0,0,0,78622,5926,35965,20638,8656,204785,26490,43581,41063,29284,64367,205452,20864,93379,5.5,1240,7722,8516,2887,12801,4599,1279,6909,9940,18758,9416,4581,4731,77051,6791,82,91420,36.7,17.9,24.2,9.7,11.5,0,78622,57887,877,939,1923,2127,5495,9374
"0500000US01005","Barbour County, Alabama",25782,1390,1450,1677,1434,1658,1863,1812,1656,1448,1672,1780,1657,1651,1515,1305,841,551,422,3127,919,5436,2173,9871,20948,20346,19394,6285,5658,4634,1814,24392,1495,1232,646,18173,4901,6486,4566,2220,5078,10924,11958,10564,9,96,1,307,10892,995,0,0,0,9186,2516,4350,2908,2383,22882,7497,6346,3451,2431,3157,22882,2558,8720,3.7,394,545,2083,243,926,603,21,346,416,1626,516,382,619,7118,927,22,8538,26.1,14.5,19.8,13.2,26.4,0,9186,5393,121,540,366,309,152,2305
"0500000US01007","Bibb County, Alabama",22527,1275,1178,1289,1514,1491,1557,1518,1455,1440,1813,1626,1494,1216,1280,842,624,488,427,2467,917,4659,2088,8975,18470,17868,16864,4877,4323,3661,1539,21252,503,433,325,15780,2650,7471,3846,1813,3412,10193,10275,3855,0,37,0,142,16033,464,0,0,0,6840,849,3036,1995,968,20436,3869,5082,3762,3059,4664,20468,1619,8099,1.6,485,730,1515,139,741,396,106,371,380,1847,356,606,427,6747,842,37,7946,22.3,18.9,18.9,16.4,23.4,0,6840,4552,37,0,114,177,211,1749
"0500000US01009","Blount County, Alabama",57645,3485,3632,3995,3717,3189,3400,3386,3040,4113,3959,3988,3895,3613,3330,2802,1776,1459,866,7627,2356,13468,4550,20845,45915,44177,42232,13846,12400,10233,4101,54160,4313,4019,2504,39627,7861,13489,13267,5010,8114,28175,28994,718,141,198,18,935,49900,5261,0,0,0,20600,1966,8666,6418,2944,57051,10527,13087,14012,8047,11378,57169,6303,21346,3.2,487,2020,3503,768,2510,1465,267,1246,1639,4204,987,1271,979,18225,2201,31,21148,30.1,12.9,21.3,15.8,19.9,0.1,20600,14486,132,338,197,328,173,4946
"0500000US01011","Bullock County, Alabama",10352,596,634,540,772,706,702,418,862,737,611,711,593,854,575,436,248,182,175,1174,380,2150,1098,4197,8413,8202,7709,2470,2026,1616,605,9756,186,101,96,7104,1760,2817,1582,945,1441,5365,4613,7659,122,56,0,0,2088,51,0,0,0,3609,936,1513,1292,1215,9922,3384,2136,1924,764,1714,9978,1076,3940,5.6,234,194,1330,37,255,205,17,91,195,639,323,162,258,3115,487,0,3940,21,17.1,17.5,10.5,33.9,0,3609,1967,23,207,25,124,76,1187
"0500000US01013","Butler County, Alabama",20025,1205,1293,1274,1292,1073,1238,1186,1213,1188,1168,1259,1460,1370,1087,994,753,415,557,2567,794,4566,1571,7190,15970,15459,14631,5176,4603,3806,1725,18820,272,79,275,13888,2141,6091,3421,2235,3492,9229,10505,8989,2,231,0,323,10159,67,0,0,0,6708,1248,3066,1867,1537,19691,5064,5979,3264,2590,2794,19734,2005,7885,2.2,233,443,1895,110,886,362,103,239,361,1610,826,384,433,6513,970,0,7769,26.9,15.5,19.1,11.9,26.6,0.1,6708,4160,23,228,214,266,129,1688
"0500000US01015","Calhoun County, Alabama",115098,6562,6844,7158,7773,7626,8017,7000,7039,6806,7148,7810,7851,8078,6667,4822,3524,2323,2050,14002,4632,25196,10767,44261,93023,89902,85310,27464,23809,19386,7897,108536,4538,3337,3059,79135,12620,25653,26643,14219,23598,54333,59228,23222,353,1065,9,2680,82462,4137,0,0,0,45033,8042,18865,14099,8611,111860,23599,27607,22966,14441,23247,113561,10686,48157,2.8,594,2907,8494,1167,6089,2221,735,2096,3468,10470,4095,2368,3453,39985,4506,152,47147,28,16.7,23.1,10.4,21.5,0.3,45033,33028,653,932,1362,1596,1435,6027
"0500000US01017","Chambers County, Alabama",33826,1950,1728,2099,1960,2525,1829,1862,1861,2112,2281,2367,2638,2205,2089,1686,1185,747,702,3827,1229,7006,3256,12149,27656,26820,25589,8614,7733,6409,2634,31876,698,343,470,23564,4383,9060,7003,3118,5570,16103,17330,13181,81,405,0,347,18637,764,0,0,0,13516,1985,5982,3494,2414,33302,7862,9394,6326,4893,4827,33433,3613,14786,1.9,227,667,4255,351,1540,530,279,537,1495,2783,925,602,595,12273,1644,27,14396,24.9,15.7,19.8,9.7,29.9,0,13516,9746,85,576,304,457,425,1923
"0500000US01019","Cherokee County, Alabama",25853,1204,1470,1520,1603,1383,1437,1092,1561,1356,1749,1893,2047,1917,1934,1492,1188,528,479,2990,1092,5286,1894,8432,21349,20567,19749,7538,6708,5621,2195,24649,302,215,205,18673,3692,7157,5417,2407,5110,12700,12887,1218,236,55,0,208,23513,398,0,0,0,10606,1682,4989,2889,1821,25579,5346,7250,5318,3444,4221,25587,2133,9805,3.6,327,712,2576,88,1080,724,101,180,462,2280,459,212,604,8038,1295,22,9671,28.7,12.4,16.5,13,29.4,0,10606,7232,27,207,86,111,198,2745
"0500000US01021","Chilton County, Alabama",43930,2767,3103,2869,2823,2575,2955,2874,2716,2892,2843,2813,3037,2736,2048,2088,1385,804,602,5972,1908,10647,3490,16835,34516,33283,31806,9663,8292,6927,2791,41163,3019,2745,1970,29793,5302,13125,7147,4219,7704,21462,22147,4066,123,190,0,1012,34966,3416,0,0,0,16751,3047,6724,5537,3205,43527,8524,11572,9252,5915,8264,43609,6176,17500,3.5,473,2702,2433,735,2060,1132,124,991,1208,2765,813,1202,862,14379,2150,0,17207,24.2,13.4,22.5,17.8,22,0,16751,10077,200,391,166,379,100,5438
"0500000US01023","Choctaw County, Alabama",13075,671,707,760,807,694,689,637,617,829,826,980,1074,900,876,771,680,262,295,1467,512,2650,989,4273,10800,10425,10002,3784,3480,2884,1237,12404,170,118,65,9436,1754,3606,2851,1225,3677,6176,6769,5567,9,13,0,35,7263,73,0,0,0,5350,1321,2627,1473,1190,12892,3712,3001,1929,1672,2578,12945,1481,4264,1.3,509,302,728,46,624,197,56,94,196,1020,142,170,180,3391,535,0,4128,24,15.4,21,17.6,22,0,5350,3637,19,0,27,94,82,1491
"0500000US01025","Clarke County, Alabama",24387,1364,1375,1591,1611,1576,1362,1231,1502,1419,1568,1749,1940,1473,1534,1041,956,630,465,2966,1059,5389,2128,8701,19763,18998,18139,6099,5533,4626,2051,23023,206,147,93,16870,3175,7372,4205,2118,4109,11391,12707,11072,25,123,0,113,12725,48,0,0,0,9358,1829,3983,2376,2596,24012,6993,5802,3981,2568,4668,24098,2594,7647,2.9,346,587,1837,112,947,495,67,316,296,1407,458,483,296,6647,695,11,7529,23.2,13.5,20.1,13.9,29.4,0,9358,5869,45,80,362,283,201,2518
