DMA,TotPop_sum,TotalPopUnder5_sum,TotalPop5_9_sum,TotalPop10_14_sum,TotalPop15_19_sum,TotalPop20_24_sum,TotalPop25_29_sum,TotalPop30_34_sum,TotalPop35_39_sum,TotalPop40_44_sum,TotalPop45_49_sum,TotalPop50_54_sum,TotalPop55_59_sum,TotalPop60_64_sum,TotalPop65_69_sum,TotalPop70_74_sum,TotalPop75_79_sum,TotalPop80_84_sum,TotalPop85Up_sum,TotalPop5_14_sum,TotalPop15_17_sum,TotalPopUnder18_sum,TotalPop18_24_sum,TotalPop15_44_sum,TotalPop16Up_sum,TotalPop18Up_sum,TotalPop21Up_sum,TotalPop60Up_sum,TotalPop62Up_sum,TotalPop65Up_sum,TotalPop75Up_sum,Pop5UpNonEnglishAtHome_sum,Pop5UpSpeakSpanish_sum,Pop5UpForeignBorn_sum,Pop25UpLessThanHighSchool_sum,Pop25UpHighSchoolPlus_sum,Pop25UpSomeCollege_sum,Pop25UpBachelorsUp_sum,TotalCivPopWithDisability_sum,TotalCivPopMale_sum,TotalCivPopFemale_sum,TotalCivPopBlack_sum,TotalCivPopAmericanIndian_sum,TotalCivPopAsian_sum,TotalCivPopHawaiin_sum,TotalCivPop2PlusRaces_sum,TotalCivPopWhite_sum,TotalCivPopHispanic_sum,TotalCivPopAmbulatoryDisability_sum,TotalCivPopSelfCareDisability_sum,TotalCivPopIndLivingDisability_sum,HousesWithFoodStamps_sum,HousesWith60Plus_sum,HousesWithChildren_sum,HousesInPoverty_sum,TotalCivIncome25kUnder_sum,TotalCivIncome25k_50k_sum,TotalCivIncome50k_75k_sum,TotalCivIncome75k_100k_sum,TotalCivIncome100kUp_sum,TotalCivNonInstiUnInsured_sum,TotEmpSelfEmployed_sum,TotEmpAgriculture_Mining_sum,TotEmpConstruction_sum,TotEmpManufacturing_sum,TotEmpWholesale_sum,TotEmpRetail_sum,TotEmpTransportation_sum,TotEmpInformation_sum,TotEmpFinance_Insurance_sum,TotEmpProfessional_sum,TotEmpEducation_Healthcare_sum,TotEmpEntertainment_Food_sum,TotEmpOther_sum,TotEmpPublicAdministration_sum,TotWorkerDroveAlone_sum,TotWorkerCarpool_sum,TotWorkerPublicTransportation_sum,TotWorkerManagement_sum,TotWorkerService_sum,TotWorkerSales_Office_sum,TotWorkerConstruction_Maintenance_sum,TotWorkerProduction_Transportation_sum,TotWorkerMilitary_sum,Housing1Detached_sum,Housing1Attached_sum,Housing2Apartments_sum,Housing3_4Apartments_sum,Housing5_9Apartments_sum,Housing10PlusApartments_sum,HousingMobileHome_sum
ABILENE (TX) - SWEETWATER (TX),313070,0.06403040853483247,0.06363113680646501,0.06699779602005941,0.07162934806912193,0.08119270450697927,0.06970006707765036,0.0651611460695691,0.06123231226243332,0.05271345066598524,0.05303286804867921,0.06025170089756285,0.06390583575558181,0.058801545980132236,0.04866323825342575,0.04308301657776216,0.031114447248219247,0.022985274858657808,0.021873702366882807,0.1306289328265244,0.03872616347781646,0.23338550483917334,0.11409588909828473,0.4016290286517392,0.792532021592615,0.7666144951608267,0.7180949947296131,0.22652122528508,0.20099977640783212,0.16771967930494777,0.07597342447375986,0.16475442284591024,0.1420054330020749,0.055886207273124384,0.1550341681188933,0.3314454387029821,0.31736210373793344,0.19615828944019112,0.1663873332515772,0.48742658981591247,0.5125734101840875,0.05080802300072218,0.006213465233209337,0.01267560533594953,2.9636594039978743e-4,0.022268323590728854,0.6710644647017946,0.24897804848138005,0,0,0,0.12407528042762424,0.4152559766555715,0.3082428320289842,0.15326473973996305,0.17262123751515895,0.2570821240240363,0.195512951532246,0.12433402826036599,0.22956437613266292,0.14956260475003066,3.85691829927539e-4,0.06970823908292757,0.07174021393244642,0.07633324387532109,0.01765134378714105,0.12155810297895181,0.05701798106046084,0.009830157573898707,0.056795614001456884,0.05638155120193229,0.2602077981827244,0.08161637848407008,0.056327876394586515,0.06483149944408235,0.8172661219131262,0.1058421421942552,0.003998883330692561,0.0037023623591902637,0.0021020545206244298,0.0024536544512098507,0.0019232365301764792,0.0018711755962485946,1.886265722024793e-5,0.7632182472046475,0.017160296624160055,0.026432032553698432,0.029707034561533452,0.025155941853097868,0.04507366523589831,0.09325278196696442
ALBANY (GA),412742,0.06471597268996128,0.06870151329401902,0.07104195841469974,0.07164039521056738,0.06808127110882828,0.06568510110432182,0.0626226553149425,0.0638655625063599,0.06177224513134113,0.061214996293083815,0.06506485891913108,0.06378318659113925,0.06031128404669261,0.052674552141531515,0.03845986112389822,0.027079870718269523,0.0177859292245519,0.015498786166661014,0.13974347170871876,0.041989911373206505,0.24644935577188656,0.09773175494618914,0.39366723037636103,0.7807128908616037,0.7535506442281135,0.7104971144201463,0.21181028342160477,0.18565593033904956,0.15149899937491218,0.060364586109482435,0.07744196709590681,0.062101230212081415,0.045291699371294014,0.20010048617576215,0.36078231443306585,0.2825323994029939,0.1565847999881781,0.16208351593313716,0.4756726976773305,0.5243273023226696,0.38578350967257247,0.0022638201965817315,0.00964377386840293,4.282226256808364e-4,0.015478620171539472,0.5187829462217493,0.07219432792837914,0,0,0,0.21722908935579466,0.397335611501188,0.33445684384761193,0.23895400058734015,0.2672009015213172,0.27645401615225695,0.1784110686783948,0.10567582795968196,0.15923621110624178,0.18203718775433544,3.2320226363547665e-4,0.05497487559761928,0.06481120109278954,0.1334764367255342,0.02499024295053176,0.12377427066055224,0.0534686310859596,0.008952092887110937,0.03975387842716362,0.06473192506586008,0.22861986535271733,0.08550834227729534,0.05051102546589911,0.06642721241096693,0.8177646876453263,0.11856146333901721,0.0060455743295613085,0.002923577739885289,0.00176406758642071,0.0022619748876143236,0.0014434971322275618,0.0021373430475895207,8.680824678344444e-6,0.6160797714712871,0.01766025042048215,0.049129668686760816,0.03825720159115786,0.03480657820968043,0.026957578022799477,0.21710895159783217
ALBANY (NY) - SCHENECTADY (NY) - TROY (NY),1386317,0.05013355531238526,0.05331320325726367,0.05512664130931093,0.06609238723899367,0.07217757554729547,0.061512626621472576,0.060131990013828004,0.05831205994011471,0.05635074806122986,0.06661896232968362,0.07423843175839293,0.07514947879886058,0.0703965976035784,0.06004398705346613,0.04360979487375542,0.029544469266408763,0.022237338213410063,0.025010152800549947,0.1084398445665746,0.03622620223224558,0.19479960211120545,0.10204376055404356,0.3745773874229343,0.8297265344073541,0.8052003978887946,0.7600382885011149,0.2508423398111687,0.22198530350561957,0.18044574220759033,0.07679196028036878,0.08586848883974678,0.028735981336800283,0.06937643528025175,0.08785512485663696,0.2898990354924815,0.291304454871676,0.33094138477920554,0.133749805649512,0.48986150510885096,0.510138494891149,0.05748960774937734,0.00218112585404205,0.03217857362876563,2.801580619516016e-4,0.027626371821086074,0.8383730003901678,0.048245858501110364,0,0,0,0.11710444896824472,0.4199374041557184,0.25812624989911126,0.10879121864602857,0.12667251429392834,0.17657878602084612,0.17088468342139,0.1455905174563408,0.3556159223654141,0.04371859222774063,6.384971609420087e-5,0.010707553755934096,0.061017930280182445,0.08274428697756679,0.01979486642464861,0.11435644140370474,0.041525586428371966,0.018724401936144466,0.05943695895001396,0.10058875546867728,0.27093223494368424,0.09152762263799684,0.04632522340128456,0.08231813739179,0.796592519956214,0.0803758833837207,0.027623932940603137,7.468489993378788e-4,3.906070629222504e-4,4.556341773033152e-4,2.1404141293995138e-4,0.00026440409833758703,2.5181342698817814e-6,0.620306881058928,0.03226645382883893,0.10568653651274786,0.06904375431579514,0.04696302540602104,0.08117012976531042,0.044563219112358644
ALBUQUERQUE (NM) - SANTA FE (NM),1947764,0.06004577556623903,0.06494832022770726,0.06866540299543476,0.06585346068620224,0.06481432042074912,0.0669239189142011,0.06644285447312918,0.06206347380894195,0.057205595749793094,0.058643141571566165,0.0646397612852481,0.06850573272737354,0.0657004647380278,0.057091105493273314,0.04210058302751257,0.028869513965757657,0.01931650857085355,0.01817006577798953,0.13361372322314202,0.04025795732953274,0.2339174561189138,0.09040982377741862,0.3833036240530167,0.7934667649674191,0.7660825438810862,0.7268714279553375,0.23124824157341445,0.20372642681556904,0.16554777683538663,0.06635608831460074,0.3291342788898241,0.23203294281380527,0.08639404765871263,0.13894598309639977,0.2673938927898691,0.32005522582331536,0.2736048982904158,0.15046111261069256,0.4906766563108698,0.5093233436891301,0.017925498709259875,0.1321239527392142,0.014966228151995723,6.904443543537597e-4,0.03257855172392231,0.3923813503945173,0.4358616276561264,0,0,0,0.15898714655808457,0.4226186183520745,0.29494821455318065,0.1746337296061865,0.19592622198228918,0.22460233010639616,0.18197924602434323,0.1302568869870259,0.23973582817367306,0.11042680403990716,1.473118985641736e-4,0.04157193813643634,0.0716116714634923,0.03899738704126096,0.019929850296915866,0.11634047013434003,0.04204398046909362,0.015484475258663092,0.048638944607504855,0.11528487940619304,0.25126156720532355,0.11521178098722512,0.0506745497323235,0.07294850526122773,0.7970536238953897,0.0984396034069969,0.012044510041458366,0.0012343938507374049,7.993492421340767e-4,8.098292384411255e-4,4.890664943289497e-4,4.006103350230248e-4,1.0105710724654316e-5,0.6612976595307967,0.03695156521304982,0.015417750730876553,0.03561185601038483,0.026124329451967403,0.06337407010867455,0.16122276895425017
ALEXANDRIA (LA),245783,0.07059886159742537,0.06870694881257043,0.0653381234666352,0.065289299910897,0.07397175557300546,0.07478141287233048,0.06938640996326027,0.06428434838861923,0.060240130521639006,0.058152923513831306,0.06301900456907109,0.06273826912357648,0.056627187397012814,0.04966576207467563,0.03674786295227904,0.0262589357278575,0.017629372251132095,0.016563391284181574,0.13404507227920565,0.040356737447260385,0.2450006713238914,0.09890431803664208,0.40795335722975146,0.7821167452590293,0.7549993286761086,0.7155621015285841,0.20349251168713867,0.1796381360793871,0.14686532429012583,0.06045169926317117,0.06942577846264299,0.026970945274503024,0.029816443477461464,0.163285934874145,0.3833508002753369,0.2816187824404522,0.17174448241006593,0.17269409206706043,0.4819220637187038,0.5180779362812963,0.25797351780886124,0.007785816273831585,0.012859182619488844,0.0013019759655236763,0.02446412839218988,0.6632525963570712,0.036893658943055914,0,0,0,0.16729445234708393,0.3851948790896159,0.34708392603129445,0.1966429587482219,0.22223427755523634,0.24813057950950226,0.17798011448708656,0.12835747052109417,0.21535550453738625,0.09989193599486154,1.2056233718702232e-4,0.03969945531658378,0.07072272815345863,0.06918340545544575,0.019429912377015652,0.10851686796271179,0.05271372903614717,0.012605222932678852,0.03795560722512863,0.06773019871256647,0.27790695171047813,0.09679433357015221,0.04763288768326552,0.09910869986436736,0.8380001447073294,0.09028703732415476,0.008796138381551882,0.0012000372104561381,8.610086100861008e-4,8.113946685685344e-4,5.240472572792956e-4,5.529887231645426e-4,1.8501865690925815e-4,0.6666173541963015,0.02706116642958748,0.04114935988620199,0.039692745376955905,0.028745376955903273,0.029155049786628733,0.16757894736842105
ALPENA (MI),38976,0.043411330049261086,0.04264162561576355,0.05416153530377668,0.05393062397372742,0.04708025451559934,0.046413177339901475,0.045515188834154355,0.05100574712643678,0.047182881773399014,0.05621408045977012,0.07596982758620689,0.0911586617405583,0.08679700328407225,0.07350677339901478,0.06955562397372742,0.043975779967159276,0.035432060755336614,0.03604782430213465,0.09680316091954023,0.034585385878489326,0.17479987684729065,0.06642549261083744,0.2911278735632184,0.8495484400656814,0.8252001231527094,0.7974651067323482,0.345315065681445,0.3094981527093596,0.25851806239737274,0.11545566502463055,0.027598970067589313,0.008099989271537388,0.014697993777491685,0.09258132143098667,0.3510854128626496,0.3868938932846419,0.16943937242172177,0.19595015576323987,0.49519730010384216,0.5048026998961579,0.003608515057113188,0.005451713395638629,0.004231568016614746,7.268951194184839e-4,0.013966770508826583,0.9603063343717549,0.013421599169262721,0,0,0,0.15926657263751762,0.5082087447108604,0.21748942172073343,0.1556558533145275,0.209527518172378,0.2785306334371755,0.19735202492211837,0.13624091381100728,0.17152128764278296,0.06160436137071651,4.7187617969044924e-4,0.023530892160563734,0.057820561218069715,0.13275449855291305,0.02164338744180194,0.14389077639360764,0.05498930413992702,0.020636718258462312,0.04114760286900717,0.0672580848118787,0.25217063042657606,0.08745438530262992,0.05725430980244117,0.03944884862212156,0.8390243902439024,0.07856225930680359,0.0068677792041078305,0.003478818998716303,0.002541720154043646,0.0029717586649550703,0.0014762516046213094,0.0023555840821566114,1.925545571245186e-5,0.8366713681241185,0.010042313117066291,0.02550070521861777,0.023244005641748944,0.011960507757404796,0.03582510578279267,0.05675599435825106
AMARILLO (TX),549792,0.07398434316978057,0.07624337931435889,0.07195266573540539,0.07037934346079971,0.07110143472440486,0.07339502939293406,0.0706758192189046,0.0646135265700483,0.059355174320470286,0.0562194429893487,0.05858579244514289,0.061777908736394854,0.05418594668529189,0.04504612653512601,0.03301612246085792,0.024802106978639195,0.017890402188464,0.016775435073627845,0.14819604504976427,0.04213593504452593,0.2643163232640708,0.09934484314067865,0.40952032768756186,0.7640653192480065,0.7356836767359293,0.6920344421162913,0.19171613992200687,0.17005703975321576,0.13753019323671498,0.05946794424073104,0.26747931709080053,0.2344023758829029,0.12876829641967646,0.18264190205056965,0.28737987846358765,0.32484407781531727,0.20513414167052543,0.13038857472351667,0.4976322964933868,0.5023677035066132,0.040494984764916156,0.007769233233399223,0.02431395013595687,0.0010590126308926422,0.034836239336854584,0.5543460031695004,0.35858318431153813,0,0,0,0.117580825942095,0.35961082763103347,0.34760401046118256,0.14572468255633633,0.16362875765758467,0.24460930536685743,0.2069597104109233,0.13985562002174556,0.23786139748211269,0.16283920909469496,3.9099167899702477e-4,0.08009164240370388,0.07686983914848933,0.10603710244538844,0.027122810367046918,0.11290232765341351,0.0597584840819054,0.011646222137368144,0.046604776223887485,0.06539067347620639,0.21244809316977709,0.09223903393632762,0.053593305013284964,0.055295689943200804,0.8222114680862126,0.11411293709230381,0.0035555306699515663,0.004107057868361377,0.002285698287826007,0.0026948442805549665,0.0023288925861786242,0.002152915815112405,2.719641007387025e-5,0.7459375911642928,0.01979640614364166,0.023962454385866146,0.025697454820895752,0.02888084794947515,0.05940969041245925,0.09631555512336928
ANCHORAGE (AK),457796,0.07196218402956775,0.06957465770779998,0.06806962052966824,0.06369212487658259,0.07424486015605204,0.08274864786935665,0.07775078856084369,0.06890405333379933,0.05888649092608935,0.061431292540782355,0.06596169472865643,0.06934966666375417,0.0590481349771514,0.04313711784288198,0.029652945853611654,0.015766848115754614,0.010635741684068887,0.009183129603578886,0.13764427823746822,0.040675322632788405,0.2502817848998244,0.09726166239984622,0.42622696572272367,0.7760793016976995,0.7497182151001757,0.7131211281881012,0.16742391807704743,0.14118515670735438,0.10837578309989603,0.03558571940340239,0.14011467522807944,0.038625215369116776,0.0869361565910011,0.06641289354920787,0.2682462201866806,0.3601100799485758,0.30523080631553573,0.12003878328710907,0.5045367426548513,0.49546325734514873,0.03769645313310334,0.06937022255293242,0.06845250174750277,0.01603643825114433,0.08957135448375386,0.6626440280502379,0.07348080001803874,0,0,0,0.09141406524908259,0.3199806464585533,0.34229377167847985,0.08560171919770773,0.08793208415071366,0.13534239779927393,0.16599246882680557,0.1430584680601592,0.460720647590701,0.13542357212113013,5.485338148241263e-5,0.04069663794482664,0.07278586611203804,0.02256302424976573,0.02009462208305716,0.11270541448586383,0.08121957351495897,0.02446917925627957,0.03896875642813064,0.09397298470961991,0.23899161200374833,0.10407514913263091,0.047498457248645806,0.10195872283043449,0.749042016201296,0.11265709358297198,0.01316636722637236,4.759524677932826e-4,2.4945853089638467e-4,2.6701969101363917e-4,1.8731904125071484e-4,1.5714986874158527e-4,1.3508584705580396e-5,0.5988224501080782,0.0945998592469713,0.04810109083597245,0.08176871261247676,0.05030035690946564,0.08183154878600513,0.044575981501030516
ATLANTA (GA),6828760,0.06342996385873863,0.06831591679895033,0.07143375956981941,0.07031203322418711,0.06763526613909407,0.06991796460850871,0.06806887341186393,0.06931741633913038,0.06937745652212114,0.07216888571277948,0.06962684294073887,0.06310647906794206,0.05451648615561244,0.04487154329629391,0.03229517511231907,0.020927957637989915,0.013061961468846467,0.011616018135064052,0.13974967636876973,0.04290442188625754,0.2460840621137659,0.09504287747702364,0.4146290102449054,0.7824660699746366,0.7539159378862341,0.7121099584697661,0.17728914180612584,0.15411612064269356,0.12277265565051342,0.04560593724190043,0.17072392759285585,0.0936526480968514,0.13577340213884145,0.11856525679852314,0.2523858229950263,0.27315778547974057,0.35589113472670997,0.10720072258434962,0.4827161184838666,0.5172838815161335,0.30564854264005276,0.0034980242203397865,0.051579242890272416,4.779028277049544e-4,0.02520966952783171,0.5140202305305179,0.10817454558987696,0,0,0,0.11724333040068291,0.33306378024091343,0.3487803063256943,0.12670071920798814,0.14043224804397297,0.19829230964854205,0.17907104610359298,0.13899440443132297,0.3336478000889348,0.13452019427429288,6.708431606902891e-5,0.0051984279463798575,0.0667777055647532,0.09647737587506061,0.030686525484306608,0.11508599499657755,0.06661848646015898,0.028706143097639525,0.0674376308439856,0.13887848488919716,0.19952489019189087,0.09434778244180239,0.04940796271422172,0.04085258949402595,0.7806271182716976,0.09633558529357432,0.02745332723953903,5.30834671379146e-4,2.7032187054317803e-4,3.6154312447647576e-4,1.851345869345048e-4,2.908373696469013e-4,1.5781153156710256e-6,0.6890386194084768,0.04842062056627408,0.01506894454020075,0.02492207762474939,0.04698522990780139,0.1321794062527596,0.04338510169973803
AUGUSTA (GA),716299,0.06176470998842662,0.06553687775635593,0.06428600347061772,0.06641500267346458,0.067346178062513,0.07075257678706796,0.06511247398083761,0.061888959777969814,0.05875898193352217,0.060374229197583694,0.06688408053061641,0.06730290004593054,0.06613160146810201,0.054995190555899146,0.04079022866149471,0.02663273297882588,0.01825075841233898,0.016776513718433222,0.12982288122697366,0.040153622998217224,0.23174121421361749,0.09360755773776035,0.39027417321537516,0.7945383143072935,0.7682587857863825,0.7276598180368813,0.22357702579509395,0.19598938432135185,0.15744542432699193,0.061660005109598084,0.06245006003955022,0.036412090045933605,0.045466381571801204,0.14748826699113507,0.32323715163103306,0.2977887313451367,0.23148585003269515,0.1525825356486753,0.47498567703259864,0.5250143229674014,0.37706131673167925,0.0027563594696822106,0.017134165436406747,0.001001525377989243,0.021450537778720618,0.5378855115067185,0.04837483025299339,0,0,0,0.1670691320546433,0.4084525397482483,0.30983318767919293,0.17850298207687473,0.21096107472043155,0.23195991589495818,0.18294434029927426,0.13539208852676193,0.2320926829479481,0.1180313532281876,1.5070333894643737e-4,0.01837356057900019,0.07005494038203126,0.12625401847221512,0.017713595618376963,0.12128046809885867,0.057985065741354966,0.014434182102702794,0.04017621744824888,0.09911040805565478,0.23794118147335477,0.08851014611079927,0.0465887635862632,0.06157745233113912,0.8388987333685268,0.09710729212549975,0.007192261006109555,0.001634818747625276,0.0011287713977330422,0.0011859328924052547,7.35702060840005e-4,0.0013335440462940858,3.5641873148556e-5,0.6818645263174034,0.031729604587338825,0.022108765312849762,0.0341865599558438,0.03461968937338056,0.04056851110804471,0.154922343345139
