STATE_ABBR,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA
AL ,Alabama,Autauga                     ,1,1,16610,116,MONTGOMERY (AL) - SELMA (AL)                                         
AL ,Alabama,Baldwin                     ,1,3,58950,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       
AL ,Alabama,Barbour                     ,1,5,10570,126,COLUMBUS (GA)                                                        
AL ,Alabama,Bibb                        ,1,7,7820,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    
AL ,Alabama,Blount                      ,1,9,20000,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    
AL ,Alabama,Bullock                     ,1,11,3930,116,MONTGOMERY (AL) - SELMA (AL)                                         
AL ,Alabama,Butler                      ,1,13,8220,116,MONTGOMERY (AL) - SELMA (AL)                                         
AL ,Alabama,Calhoun                     ,1,15,43960,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    
AL ,Alabama,Chambers                    ,1,17,14170,126,COLUMBUS (GA)                                                        
AL ,Alabama,Cherokee                    ,1,19,10010,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    
AL ,Alabama,Chilton                     ,1,21,15880,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    
AL ,Alabama,Choctaw                     ,1,23,6150,185,MERIDIAN (MS)                                                        
AL ,Alabama,Clarke                      ,1,25,10460,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       
AL ,Alabama,Clay                        ,1,27,5780,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    
AL ,Alabama,Cleburne                    ,1,29,5610,9,ATLANTA (GA)                                                         
AL ,Alabama,Coffee                      ,1,31,17300,171,DOTHAN (AL)                                                          
AL ,Alabama,Colbert                     ,1,33,22230,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       
AL ,Alabama,Conecuh                     ,1,35,5560,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       
AL ,Alabama,Coosa                       ,1,37,4690,116,MONTGOMERY (AL) - SELMA (AL)                                         
