"","Category","Total Cases","Total Deaths"
"1","20200121_SEATTLE (WA) - TACOMA (WA)",1,0
"2","20200122_SEATTLE (WA) - TACOMA (WA)",1,0
"3","20200123_SEATTLE (WA) - TACOMA (WA)",1,0
"4","20200124_CHICAGO (IL)",1,0
"5","20200124_SEATTLE (WA) - TACOMA (WA)",1,0
"6","20200125_CHICAGO (IL)",1,0
"7","20200125_LOS ANGELES (CA)",1,0
"8","20200125_SEATTLE (WA) - TACOMA (WA)",1,0
"9","20200126_CHICAGO (IL)",1,0
"10","20200126_LOS ANGELES (CA)",2,0
"11","20200126_PHOENIX (AZ)",1,0
"12","20200126_SEATTLE (WA) - TACOMA (WA)",1,0
"13","20200127_CHICAGO (IL)",1,0
"14","20200127_LOS ANGELES (CA)",2,0
"15","20200127_PHOENIX (AZ)",1,0
"16","20200127_SEATTLE (WA) - TACOMA (WA)",1,0
"17","20200128_CHICAGO (IL)",1,0
"18","20200128_LOS ANGELES (CA)",2,0
"19","20200128_PHOENIX (AZ)",1,0
"20","20200128_SEATTLE (WA) - TACOMA (WA)",1,0
"21","20200129_CHICAGO (IL)",1,0
"22","20200129_LOS ANGELES (CA)",2,0
"23","20200129_PHOENIX (AZ)",1,0
"24","20200129_SEATTLE (WA) - TACOMA (WA)",1,0
"25","20200130_CHICAGO (IL)",2,0
"26","20200130_LOS ANGELES (CA)",2,0
"27","20200130_PHOENIX (AZ)",1,0
"28","20200130_SEATTLE (WA) - TACOMA (WA)",1,0
"29","20200131_CHICAGO (IL)",2,0
"30","20200131_LOS ANGELES (CA)",2,0
"31","20200131_PHOENIX (AZ)",1,0
"32","20200131_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",1,0
"33","20200131_SEATTLE (WA) - TACOMA (WA)",1,0
"34","20200201_BOSTON (MA) - MANCHESTER (NH)",1,0
"35","20200201_CHICAGO (IL)",2,0
"36","20200201_LOS ANGELES (CA)",2,0
"37","20200201_PHOENIX (AZ)",1,0
"38","20200201_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",1,0
"39","20200201_SEATTLE (WA) - TACOMA (WA)",1,0
"40","20200202_BOSTON (MA) - MANCHESTER (NH)",1,0
"41","20200202_CHICAGO (IL)",2,0
"42","20200202_LOS ANGELES (CA)",2,0
"43","20200202_PHOENIX (AZ)",1,0
"44","20200202_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"45","20200202_SEATTLE (WA) - TACOMA (WA)",1,0
"46","20200203_BOSTON (MA) - MANCHESTER (NH)",1,0
"47","20200203_CHICAGO (IL)",2,0
"48","20200203_LOS ANGELES (CA)",2,0
"49","20200203_PHOENIX (AZ)",1,0
"50","20200203_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"51","20200203_SEATTLE (WA) - TACOMA (WA)",1,0
"52","20200204_BOSTON (MA) - MANCHESTER (NH)",1,0
"53","20200204_CHICAGO (IL)",2,0
"54","20200204_LOS ANGELES (CA)",2,0
"55","20200204_PHOENIX (AZ)",1,0
"56","20200204_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"57","20200204_SEATTLE (WA) - TACOMA (WA)",1,0
"58","20200205_BOSTON (MA) - MANCHESTER (NH)",1,0
"59","20200205_CHICAGO (IL)",2,0
"60","20200205_LOS ANGELES (CA)",2,0
"61","20200205_MADISON (WI)",1,0
"62","20200205_PHOENIX (AZ)",1,0
"63","20200205_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"64","20200205_SEATTLE (WA) - TACOMA (WA)",1,0
"65","20200206_BOSTON (MA) - MANCHESTER (NH)",1,0
"66","20200206_CHICAGO (IL)",2,0
"67","20200206_LOS ANGELES (CA)",2,0
"68","20200206_MADISON (WI)",1,0
"69","20200206_PHOENIX (AZ)",1,0
"70","20200206_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"71","20200206_SEATTLE (WA) - TACOMA (WA)",1,0
"72","20200207_BOSTON (MA) - MANCHESTER (NH)",1,0
"73","20200207_CHICAGO (IL)",2,0
"74","20200207_LOS ANGELES (CA)",2,0
"75","20200207_MADISON (WI)",1,0
"76","20200207_PHOENIX (AZ)",1,0
"77","20200207_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"78","20200207_SEATTLE (WA) - TACOMA (WA)",1,0
"79","20200208_BOSTON (MA) - MANCHESTER (NH)",1,0
"80","20200208_CHICAGO (IL)",2,0
"81","20200208_LOS ANGELES (CA)",2,0
"82","20200208_MADISON (WI)",1,0
"83","20200208_PHOENIX (AZ)",1,0
"84","20200208_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"85","20200208_SEATTLE (WA) - TACOMA (WA)",1,0
"86","20200209_BOSTON (MA) - MANCHESTER (NH)",1,0
"87","20200209_CHICAGO (IL)",2,0
"88","20200209_LOS ANGELES (CA)",2,0
"89","20200209_MADISON (WI)",1,0
"90","20200209_PHOENIX (AZ)",1,0
"91","20200209_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"92","20200209_SEATTLE (WA) - TACOMA (WA)",1,0
"93","20200210_BOSTON (MA) - MANCHESTER (NH)",1,0
"94","20200210_CHICAGO (IL)",2,0
"95","20200210_LOS ANGELES (CA)",2,0
"96","20200210_MADISON (WI)",1,0
"97","20200210_PHOENIX (AZ)",1,0
"98","20200210_SAN DIEGO (CA)",1,0
"99","20200210_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"100","20200210_SEATTLE (WA) - TACOMA (WA)",1,0
"101","20200211_BOSTON (MA) - MANCHESTER (NH)",1,0
"102","20200211_CHICAGO (IL)",2,0
"103","20200211_LOS ANGELES (CA)",2,0
"104","20200211_MADISON (WI)",1,0
"105","20200211_PHOENIX (AZ)",1,0
"106","20200211_SAN DIEGO (CA)",1,0
"107","20200211_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"108","20200211_SEATTLE (WA) - TACOMA (WA)",1,0
"109","20200212_BOSTON (MA) - MANCHESTER (NH)",1,0
"110","20200212_CHICAGO (IL)",2,0
"111","20200212_LOS ANGELES (CA)",2,0
"112","20200212_MADISON (WI)",1,0
"113","20200212_PHOENIX (AZ)",1,0
"114","20200212_SAN ANTONIO (TX)",1,0
"115","20200212_SAN DIEGO (CA)",1,0
"116","20200212_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"117","20200212_SEATTLE (WA) - TACOMA (WA)",1,0
"118","20200213_BOSTON (MA) - MANCHESTER (NH)",1,0
"119","20200213_CHICAGO (IL)",2,0
"120","20200213_LOS ANGELES (CA)",2,0
"121","20200213_MADISON (WI)",1,0
"122","20200213_PHOENIX (AZ)",1,0
"123","20200213_SAN ANTONIO (TX)",2,0
"124","20200213_SAN DIEGO (CA)",1,0
"125","20200213_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"126","20200213_SEATTLE (WA) - TACOMA (WA)",1,0
"127","20200214_BOSTON (MA) - MANCHESTER (NH)",1,0
"128","20200214_CHICAGO (IL)",2,0
"129","20200214_LOS ANGELES (CA)",2,0
"130","20200214_MADISON (WI)",1,0
"131","20200214_PHOENIX (AZ)",1,0
"132","20200214_SAN ANTONIO (TX)",2,0
"133","20200214_SAN DIEGO (CA)",1,0
"134","20200214_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"135","20200214_SEATTLE (WA) - TACOMA (WA)",1,0
"136","20200215_BOSTON (MA) - MANCHESTER (NH)",1,0
"137","20200215_CHICAGO (IL)",2,0
"138","20200215_LOS ANGELES (CA)",2,0
"139","20200215_MADISON (WI)",1,0
"140","20200215_PHOENIX (AZ)",1,0
"141","20200215_SAN ANTONIO (TX)",2,0
"142","20200215_SAN DIEGO (CA)",1,0
"143","20200215_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"144","20200215_SEATTLE (WA) - TACOMA (WA)",1,0
"145","20200216_BOSTON (MA) - MANCHESTER (NH)",1,0
"146","20200216_CHICAGO (IL)",2,0
"147","20200216_LOS ANGELES (CA)",2,0
"148","20200216_MADISON (WI)",1,0
"149","20200216_PHOENIX (AZ)",1,0
"150","20200216_SAN ANTONIO (TX)",2,0
"151","20200216_SAN DIEGO (CA)",1,0
"152","20200216_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",4,0
"153","20200216_SEATTLE (WA) - TACOMA (WA)",1,0
"154","20200217_BOSTON (MA) - MANCHESTER (NH)",1,0
"155","20200217_CHICAGO (IL)",2,0
"156","20200217_LOS ANGELES (CA)",2,0
"157","20200217_MADISON (WI)",1,0
"158","20200217_OMAHA (NE)",10,0
"159","20200217_PHOENIX (AZ)",1,0
"160","20200217_SAN ANTONIO (TX)",2,0
