"","Group.1","Date","DMA","Total_Cases","Total_Deaths","CaseLagDay-1","NewCasesPerDay","DeathLagDay-1","NewDeathsPerDay","CaseLagDay-2","CaseLagDay-3","CaseLagDay-4","CaseLagDay-5","CaseLagDay-6","CaseLagDay-7","CaseLagDay-8","CaseLagDay-9","CaseLagDay-10","CaseLagDay-11","CaseLagDay-12","CaseLagDay-13","CaseLagDay-14","CaseLagDay+1","CaseLagDay+2","CaseLagDay+3","CaseLagDay+4","CaseLagDay+5","CaseLagDay+6","CaseLagDay+7","CaseLagDay+8","CaseLagDay+9","CaseLagDay+10","CaseLagDay+11","CaseLagDay+12","CaseLagDay+13","CaseLagDay+14"
"1","20200320_ABILENE (TX) - SWEETWATER (TX)",20200320,"ABILENE (TX) - SWEETWATER (TX)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,5,6,8,13,13,17,20,20,25
"2","20200321_ABILENE (TX) - SWEETWATER (TX)",20200321,"ABILENE (TX) - SWEETWATER (TX)",2,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,5,6,8,13,13,17,20,20,25,30
"3","20200322_ABILENE (TX) - SWEETWATER (TX)",20200322,"ABILENE (TX) - SWEETWATER (TX)",2,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,6,8,13,13,17,20,20,25,30,35
"4","20200323_ABILENE (TX) - SWEETWATER (TX)",20200323,"ABILENE (TX) - SWEETWATER (TX)",2,0,2,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,6,8,13,13,17,20,20,25,30,35,35
"5","20200324_ABILENE (TX) - SWEETWATER (TX)",20200324,"ABILENE (TX) - SWEETWATER (TX)",2,0,2,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,8,13,13,17,20,20,25,30,35,35,43
"6","20200325_ABILENE (TX) - SWEETWATER (TX)",20200325,"ABILENE (TX) - SWEETWATER (TX)",4,0,2,2,0,0,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,8,13,13,17,20,20,25,30,35,35,43,44
"7","20200326_ABILENE (TX) - SWEETWATER (TX)",20200326,"ABILENE (TX) - SWEETWATER (TX)",5,0,4,1,0,0,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,6,8,13,13,17,20,20,25,30,35,35,43,44,47
"8","20200327_ABILENE (TX) - SWEETWATER (TX)",20200327,"ABILENE (TX) - SWEETWATER (TX)",6,0,5,1,0,0,4,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,8,13,13,17,20,20,25,30,35,35,43,44,47,69
"9","20200328_ABILENE (TX) - SWEETWATER (TX)",20200328,"ABILENE (TX) - SWEETWATER (TX)",8,0,6,2,0,0,5,4,2,2,2,2,1,NA,NA,NA,NA,NA,NA,13,13,17,20,20,25,30,35,35,43,44,47,69,76
"10","20200329_ABILENE (TX) - SWEETWATER (TX)",20200329,"ABILENE (TX) - SWEETWATER (TX)",13,0,8,5,0,0,6,5,4,2,2,2,2,1,NA,NA,NA,NA,NA,13,17,20,20,25,30,35,35,43,44,47,69,76,80
"11","20200330_ABILENE (TX) - SWEETWATER (TX)",20200330,"ABILENE (TX) - SWEETWATER (TX)",13,0,13,0,0,0,8,6,5,4,2,2,2,2,1,NA,NA,NA,NA,17,20,20,25,30,35,35,43,44,47,69,76,80,89
"12","20200331_ABILENE (TX) - SWEETWATER (TX)",20200331,"ABILENE (TX) - SWEETWATER (TX)",17,0,13,4,0,0,13,8,6,5,4,2,2,2,2,1,NA,NA,NA,20,20,25,30,35,35,43,44,47,69,76,80,89,96
"13","20200401_ABILENE (TX) - SWEETWATER (TX)",20200401,"ABILENE (TX) - SWEETWATER (TX)",20,0,17,3,0,0,13,13,8,6,5,4,2,2,2,2,1,NA,NA,20,25,30,35,35,43,44,47,69,76,80,89,96,96
"14","20200402_ABILENE (TX) - SWEETWATER (TX)",20200402,"ABILENE (TX) - SWEETWATER (TX)",20,0,20,0,0,0,17,13,13,8,6,5,4,2,2,2,2,1,NA,25,30,35,35,43,44,47,69,76,80,89,96,96,103
"15","20200403_ABILENE (TX) - SWEETWATER (TX)",20200403,"ABILENE (TX) - SWEETWATER (TX)",25,0,20,5,0,0,20,17,13,13,8,6,5,4,2,2,2,2,1,30,35,35,43,44,47,69,76,80,89,96,96,103,113
"16","20200404_ABILENE (TX) - SWEETWATER (TX)",20200404,"ABILENE (TX) - SWEETWATER (TX)",30,1,25,5,0,1,20,20,17,13,13,8,6,5,4,2,2,2,2,35,35,43,44,47,69,76,80,89,96,96,103,113,166
