location,DMA,geo_code
Abilene-Sweetwater TX,ABILENE (TX) - SWEETWATER (TX)                                       ,US-TX-662
Albany GA,ALBANY (GA)                                                          ,US-GA-525
Albany-Schenectady-Troy NY,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           ,US-NY-532
Albuquerque-Santa Fe NM,ALBUQUERQUE (NM) - SANTA FE (NM)                                     ,US-NM-790
Alexandria LA,ALEXANDRIA (LA)                                                      ,US-LA-644
Alpena MI,ALPENA (MI)                                                          ,US-MI-583
Amarillo TX,AMARILLO (TX)                                                        ,US-TX-634
Anchorage AK,ANCHORAGE (AK)                                                       ,US-AK-743
Atlanta GA,ATLANTA (GA)                                                         ,US-GA-524
Augusta GA,AUGUSTA (GA)                                                         ,US-GA-520
Austin TX,AUSTIN (TX)                                                          ,US-TX-635
Bakersfield CA,BAKERSFIELD (CA)                                                     ,US-CA-800
Baltimore MD,BALTIMORE (MD)                                                       ,US-MD-512
Bangor ME,BANGOR (ME)                                                          ,US-ME-537
Baton Rouge LA,BATON ROUGE (LA)                                                     ,US-LA-716
Beaumont-Port Arthur TX,BEAUMONT (TX) - PORT ARTHUR (TX)                                     ,US-TX-692
Bend OR,BEND (OR)                                                            ,US-OR-821
"Billings, MT",BILLINGS (MT)                                                        ,US-MT-756
Biloxi-Gulfport MS,BILOXI (MS) - GULFPORT (MS)                                          ,US-MS-746
Binghamton NY,BINGHAMTON (NY)                                                      ,US-NY-502
Birmingham AL,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,US-AL-630
Bluefield-Beckley-Oak Hill WV,BLUEFIELD (WV) - BECKLEY (WV) - OAK HILL (WV)                        ,US-WV-559
Boise ID,BOISE (ID)                                                           ,US-ID-757
Boston MA-Manchester NH,BOSTON (MA) - MANCHESTER (NH)                                        ,US-MA-506
Bowling Green KY,BOWLING GREEN (KY)                                                   ,US-KY-736
Buffalo NY,BUFFALO (NY)                                                         ,US-NY-514
Burlington VT-Plattsburgh NY,BURLINGTON (VT) - PLATTSBURGH (NY)                                   ,US-VT-523
Butte-Bozeman MT,BUTTE (MT) - BOZEMAN (MT)                                            ,US-MT-754
Casper-Riverton WY,CASPER (WY) - RIVERTON (WY)                                          ,US-WY-767
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,CEDAR RAPIDS (IA) - WATERLOO (IA) - IOWA CITY (IA) - DUBUQUE (IA)    ,US-IA-637
Champaign & Springfield-Decatur IL,CHAMPAIGN (IL) - SPRINGFIELD (IL) - DECATUR (IL)                     ,US-NA-648
Charleston SC,CHARLESTON (SC)                                                      ,US-SC-519
Charleston-Huntington WV,CHARLESTON (WV) - HUNTINGTON (WV)                                    ,US-WV-564
