location,geo_code
Abilene-Sweetwater TX,US-TX-662
Albany-Schenectady-Troy NY,US-NY-532
Albany GA,US-GA-525
Albuquerque-Santa Fe NM,US-NM-790
Alexandria LA,US-LA-644
Alpena MI,US-MI-583
Amarillo TX,US-TX-634
Anchorage AK,US-AK-743
Atlanta GA,US-GA-524
Augusta GA,US-GA-520
Austin TX,US-TX-635
Bakersfield CA,US-CA-800
Baltimore MD,US-MD-512
Bangor ME,US-ME-537
Baton Rouge LA,US-LA-716
Beaumont-Port Arthur TX,US-TX-692
Bend OR,US-OR-821
"Billings, MT",US-MT-756
Biloxi-Gulfport MS,US-MS-746
Binghamton NY,US-NY-502
Birmingham AL,US-AL-630
Bluefield-Beckley-Oak Hill WV,US-WV-559
Boise ID,US-ID-757
Boston MA-Manchester NH,US-MA-506
Bowling Green KY,US-KY-736
Buffalo NY,US-NY-514
Burlington VT-Plattsburgh NY,US-VT-523
Butte-Bozeman MT,US-MT-754
Casper-Riverton WY,US-WY-767
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,US-IA-637
Champaign & Springfield-Decatur IL,US-NA-648
Charleston-Huntington WV,US-WV-564
Charleston SC,US-SC-519
Charlotte NC,US-NC-517
Charlottesville VA,US-VA-584
Chattanooga TN,US-TN-575
Cheyenne WY-Scottsbluff NE,US-WY-759
Chicago IL,US-IL-602
Chico-Redding CA,US-CA-868
Cincinnati OH,US-OH-515
Clarksburg-Weston WV,US-WV-598
Cleveland-Akron (Canton) OH,US-OH-510
Colorado Springs-Pueblo CO,US-CO-752
Columbia-Jefferson City MO,US-MO-604
Columbia SC,US-SC-546
Columbus-Tupelo-West Point MS,US-MS-673
Columbus GA,US-GA-522
Columbus OH,US-OH-535
Corpus Christi TX,US-TX-600
Dallas-Ft. Worth TX,US-TX-623
Davenport IA-Rock Island-Moline IL,US-NA-682
Dayton OH,US-OH-542
Denver CO,US-CO-751
Des Moines-Ames IA,US-IA-679
Detroit MI,US-MI-505
Dothan AL,US-AL-606
Duluth MN-Superior WI,US-MN-676
El Paso TX,US-TX-765
Elmira NY,US-NY-565
Erie PA,US-PA-516
Eugene OR,US-OR-801
Eureka CA,US-CA-802
Evansville IN,US-IN-649
Fairbanks AK,US-AK-745
Fargo-Valley City ND,US-ND-724
Flint-Saginaw-Bay City MI,US-MI-513
Florence-Myrtle Beach SC,US-SC-570
Fresno-Visalia CA,US-CA-866
Ft. Myers-Naples FL,US-FL-571
Ft. Smith-Fayetteville-Springdale-Rogers AR,US-AR-670
Ft. Wayne IN,US-IN-509
Gainesville FL,US-FL-592
Glendive MT,US-MT-798
Grand Junction-Montrose CO,US-CO-773
Grand Rapids-Kalamazoo-Battle Creek MI,US-MI-563
Great Falls MT,US-MT-755
Green Bay-Appleton WI,US-WI-658
Greensboro-High Point-Winston Salem NC,US-NC-518
Greenville-New Bern-Washington NC,US-NC-545
Greenville-Spartanburg SC-Asheville NC-Anderson SC,US-SC-567
Greenwood-Greenville MS,US-MS-647
Harlingen-Weslaco-Brownsville-McAllen TX,US-TX-636
Harrisburg-Lancaster-Lebanon-York PA,US-PA-566
Harrisonburg VA,US-VA-569
Hartford & New Haven CT,US-CT-533
Hattiesburg-Laurel MS,US-MS-710
Helena MT,US-MT-766
Honolulu HI,US-HI-744
Houston TX,US-TX-618
Huntsville-Decatur (Florence) AL,US-AL-691
Idaho Falls-Pocatello ID,US-ID-758
Indianapolis IN,US-IN-527
Jackson MS,US-MS-718
Jackson TN,US-TN-639
Jacksonville FL,US-FL-561
Johnstown-Altoona PA,US-PA-574
Jonesboro AR,US-AR-734
Joplin MO-Pittsburg KS,US-MO-603
